ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,ENTREZID,description
ENSMUSG00000025432,3329.8792090439056,6.894174239852066,0.31819352880126467,21.666607318585623,4.238590418089565e-104,6.892371878855441e-100,Avil,11567,advillin [Source:MGI Symbol;Acc:MGI:1333798]
ENSMUSG00000045312,241.72963346619167,4.0255598203960075,0.2701243933099146,14.902614943691773,3.1692893853514606e-50,2.576790734760005e-46,Lhfpl2,218454,lipoma HMGIC fusion partner-like 2 [Source:MGI Symbol;Acc:MGI:2145236]
ENSMUSG00000036938,502.6471354776466,7.549329515249094,0.5662788674944131,13.331469614347872,1.5187603021532592e-40,8.232187091104716e-37,Try5,103964,trypsin 5 [Source:MGI Symbol;Acc:MGI:102756]
ENSMUSG00000020256,1152.563282214195,3.5970975166188612,0.27053901267364977,13.296039935497314,2.4405621200994287e-40,9.921495158734203e-37,Aldh1l2,216188,"aldehyde dehydrogenase 1 family, member L2 [Source:MGI Symbol;Acc:MGI:2444680]"
ENSMUSG00000005413,1682.636022752251,2.764981039197486,0.21409076100985525,12.914994678683053,3.7046966980617935e-38,1.2048414601436564e-34,Hmox1,15368,heme oxygenase 1 [Source:MGI Symbol;Acc:MGI:96163]
ENSMUSG00000034833,1266.0995696248158,-2.472964470427303,0.19419812524848076,-12.734234520869297,3.815700449778694e-37,1.0341184168975224e-33,Tespa1,67596,"thymocyte expressed, positive selection associated 1 [Source:MGI Symbol;Acc:MGI:1914846]"
ENSMUSG00000018821,1436.3085648772087,2.889987289699385,0.23441117276016324,12.328709658631599,6.345469528787056e-35,1.474052571537233e-31,Avpi1,69534,arginine vasopressin-induced 1 [Source:MGI Symbol;Acc:MGI:1916784]
ENSMUSG00000020176,636.5569022720966,4.858835592191296,0.422898987921736,11.489352613656523,1.4922601816977219e-30,3.033205351823332e-27,Grb10,14783,growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232]
ENSMUSG00000025355,133.0864562568759,5.610293995030098,0.49127368278257266,11.419895247092027,3.3263463401517296e-30,6.009968648578586e-27,Mmp19,58223,matrix metallopeptidase 19 [Source:MGI Symbol;Acc:MGI:1927899]
ENSMUSG00000048388,475.99150884462665,2.5147052465397635,0.2393643432044623,10.50576377782271,8.12622922211919e-26,1.2764404715593183e-22,Fam171b,241520,"family with sequence similarity 171, member B [Source:MGI Symbol;Acc:MGI:2444579]"
ENSMUSG00000028179,1320.3945981808313,3.467878128864384,0.3302729600563454,10.500036479743166,8.634675104330915e-26,1.2764404715593183e-22,Cth,107869,cystathionase (cystathionine gamma-lyase) [Source:MGI Symbol;Acc:MGI:1339968]
ENSMUSG00000044345,1982.2739241206218,1.8927115862333908,0.18443269421673789,10.262343096333844,1.0414844178058407e-24,1.4112981764950646e-21,Marveld1,277010,MARVEL (membrane-associating) domain containing 1 [Source:MGI Symbol;Acc:MGI:2147570]
ENSMUSG00000074578,5291.545607555203,2.3741622358836856,0.23365170259878904,10.161116779707088,2.9567008042942277e-24,3.698377829125264e-21,Zfas1,68949,"zinc finger, NFX1-type containing 1, antisense RNA 1 [Source:MGI Symbol;Acc:MGI:1916199]"
ENSMUSG00000053332,13430.398642467462,1.9903982277328254,0.20056107846619672,9.924150004350391,3.2687582971364956e-23,3.7966627621240396e-20,Gas5,14455,growth arrest specific 5 [Source:MGI Symbol;Acc:MGI:95659]
ENSMUSG00000074802,366.01657514637725,-2.3756920470557716,0.2396496375804291,-9.913188565780588,3.6481376339140587e-23,3.9548244043384334e-20,Gas2l3,237436,growth arrest-specific 2 like 3 [Source:MGI Symbol;Acc:MGI:1918780]
ENSMUSG00000052160,146.56143705842942,-4.232686491763762,0.42915938690652716,-9.862737763407376,6.038015074944446e-23,6.136510195854476e-20,Pld4,104759,"phospholipase D family, member 4 [Source:MGI Symbol;Acc:MGI:2144765]"
ENSMUSG00000007035,1001.7832620748123,-2.5983473682740916,0.2711305516818246,-9.583380965946205,9.391904675590964e-22,8.640300533341939e-19,Msh5,17687,mutS homolog 5 [Source:MGI Symbol;Acc:MGI:1329021]
ENSMUSG00000025557,73.90776108176102,-5.248132622964486,0.5630800747662592,-9.32040194308606,1.159003945343089e-20,9.919243765907353e-18,Slc15a1,56643,"solute carrier family 15 (oligopeptide transporter), member 1 [Source:MGI Symbol;Acc:MGI:1861376]"
ENSMUSG00000042671,72.91223494139089,-4.491507597443025,0.48603691249723824,-9.241083304487798,2.4401405546993513e-20,1.9839562779983074e-17,Rgs8,67792,regulator of G-protein signaling 8 [Source:MGI Symbol;Acc:MGI:108408]
ENSMUSG00000118607,107.79017275596728,4.786675295489649,0.5276207510512174,9.072189230527432,1.1664929535334567e-19,9.032543770194066e-17,Gm7592,101055758,predicted gene 7592 [Source:MGI Symbol;Acc:MGI:3644077]
ENSMUSG00000027071,123.71499813909735,3.335015427848805,0.368919472065729,9.039955004745908,1.5673631965774044e-19,1.1584951336156897e-16,P2rx3,228139,"purinergic receptor P2X, ligand-gated ion channel, 3 [Source:MGI Symbol;Acc:MGI:1097160]"
ENSMUSG00000023034,838.5632279099842,-3.5968400311684046,0.39887045092032286,-9.017564532216747,1.923171034727792e-19,1.359681921552549e-16,Nr4a1,15370,"nuclear receptor subfamily 4, group A, member 1 [Source:MGI Symbol;Acc:MGI:1352454]"
ENSMUSG00000010663,704.8548099179751,-1.864286626231738,0.20696943546672872,-9.007545592554077,2.1071946005942483e-19,1.427712141677628e-16,Fads1,76267,fatty acid desaturase 1 [Source:MGI Symbol;Acc:MGI:1923517]
ENSMUSG00000023832,953.101463284647,-2.3162328213856966,0.2624364007792224,-8.825882440501283,1.0860005964219064e-18,7.063782279366649e-16,Acat2,110460,acetyl-Coenzyme A acetyltransferase 2 [Source:MGI Symbol;Acc:MGI:87871]
ENSMUSG00000035504,685.9829757987798,2.4091977426153237,0.2731547591541052,8.819900301484886,1.1456167771045516e-18,7.164951697114274e-16,Reep6,70335,receptor accessory protein 6 [Source:MGI Symbol;Acc:MGI:1917585]
ENSMUSG00000027737,202.72809826508492,3.880461020549498,0.44089898945497485,8.801247254720177,1.3530387593437448e-18,8.148801209514309e-16,Slc7a11,26570,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 [Source:MGI Symbol;Acc:MGI:1347355]"
ENSMUSG00000086290,1734.827432179357,1.7709376860813983,0.20141959317113176,8.792281119229349,1.4655351164920947e-18,8.51109518902784e-16,Snhg12,100039864,small nucleolar RNA host gene 12 [Source:MGI Symbol;Acc:MGI:1916721]
ENSMUSG00000024924,621.2662659854296,3.8499969307767845,0.4424995169686136,8.700567533161543,3.302284616676129e-18,1.789948338392351e-15,Vldlr,22359,very low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:98935]
ENSMUSG00000026456,3408.6456635576483,2.400009031806362,0.277022054237887,8.66360275325012,4.570841732528295e-18,2.397627658472342e-15,Cyb5r1,72017,cytochrome b5 reductase 1 [Source:MGI Symbol;Acc:MGI:1919267]
ENSMUSG00000021226,458.7262008873202,2.256810466368124,0.2614139686758328,8.63309056436341,5.971611772734747e-18,3.034511844888741e-15,Acot2,171210,acyl-CoA thioesterase 2 [Source:MGI Symbol;Acc:MGI:2159605]
ENSMUSG00000022696,237.37571700501493,-2.4851533401997825,0.2886676597768675,-8.609046618248614,7.367068802729017e-18,3.630178963672016e-15,Sidt1,320007,"SID1 transmembrane family, member 1 [Source:MGI Symbol;Acc:MGI:2443155]"
ENSMUSG00000029516,811.3534720978957,-2.2287205716467318,0.25906814632889835,-8.602835212389536,7.777059925712034e-18,3.7194932780001e-15,Cit,12704,citron [Source:MGI Symbol;Acc:MGI:105313]
ENSMUSG00000045294,1655.5664584177002,-2.5933322511159926,0.3063477054217674,-8.465322916473603,2.5544395483594777e-17,1.1867926141678135e-14,Insig1,231070,insulin induced gene 1 [Source:MGI Symbol;Acc:MGI:1916289]
ENSMUSG00000025920,169.05932452397633,2.752405449129295,0.32594910853201586,8.444279726750485,3.059258380438229e-17,1.3818500145640567e-14,Stau2,29819,staufen double-stranded RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1352508]
ENSMUSG00000032715,4688.150745997625,1.9749536828149201,0.23440847821716562,8.425265578428618,3.599329136900165e-17,1.5818565160846917e-14,Trib3,228775,tribbles pseudokinase 3 [Source:MGI Symbol;Acc:MGI:1345675]
ENSMUSG00000016756,603.0094291944872,-2.459991867398417,0.2971392435740673,-8.278919464857626,1.2429796040746354e-16,5.318971405752012e-14,Cmah,12763,cytidine monophospho-N-acetylneuraminic acid hydroxylase [Source:MGI Symbol;Acc:MGI:103227]
ENSMUSG00000055013,143.79292665582346,3.889849159191758,0.47319587370089405,8.220378442375264,2.0286201144409946e-16,8.458305559211543e-14,Agap1,347722,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:MGI Symbol;Acc:MGI:2653690]"
ENSMUSG00000021831,14511.91848817631,1.932265767138748,0.2357300152675292,8.196944139446247,2.465749564398595e-16,1.0023888416671388e-13,Ero1a,50527,endoplasmic reticulum oxidoreductase 1 alpha [Source:MGI Symbol;Acc:MGI:1354385]
ENSMUSG00000020412,3128.9882706896387,1.9107552999423303,0.233283277927274,8.190708382184203,2.596931203312894e-16,1.0299682511480724e-13,Ascc2,75452,activating signal cointegrator 1 complex subunit 2 [Source:MGI Symbol;Acc:MGI:1922702]
ENSMUSG00000058454,1256.996474081401,-2.1237153657344887,0.26388810817625163,-8.047787300502579,8.430429618291503e-16,3.2639813338818604e-13,Dhcr7,13360,7-dehydrocholesterol reductase [Source:MGI Symbol;Acc:MGI:1298378]
ENSMUSG00000027605,359.64492451295155,-2.256868945033335,0.28114234160461044,-8.027495723882542,9.948243565477974e-16,3.7620555492613336e-13,Acss2,60525,acyl-CoA synthetase short-chain family member 2 [Source:MGI Symbol;Acc:MGI:1890410]
ENSMUSG00000093930,3640.219331366043,-2.460486600968573,0.3068177525065517,-8.019374957503583,1.0628460296272905e-15,3.9279407472203113e-13,Hmgcs1,208715,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 [Source:MGI Symbol;Acc:MGI:107592]
ENSMUSG00000003604,681.313951114492,1.8223167892265384,0.22733038834632346,8.016160102847113,1.0910227567973646e-15,3.9424713440626547e-13,Aven,74268,"apoptosis, caspase activation inhibitor [Source:MGI Symbol;Acc:MGI:1921518]"
