ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,ENTREZID,description
ENSMUSG00000068874,1399.5943829634,4.575252676299719,0.1621236142927646,28.220766581465906,3.252607145245073e-175,5.935357518643209e-171,Selenbp1,20341,selenium binding protein 1 [Source:MGI Symbol;Acc:MGI:96825]
ENSMUSG00000067235,1457.7417058816084,3.2354373220135986,0.12117428671665494,26.700692116134405,4.620492202967031e-157,4.215737085987119e-153,H2-Q10,15007,"histocompatibility 2, Q region locus 10 [Source:MGI Symbol;Acc:MGI:95929]"
ENSMUSG00000035105,4556.031676291785,3.1023030472797193,0.11649092513967822,26.631285171440684,2.9485587777085146e-156,1.7935100191874993e-152,Egln3,112407,egl-9 family hypoxia-inducible factor 3 [Source:MGI Symbol;Acc:MGI:1932288]
ENSMUSG00000024665,1481.2360061623256,4.373405274901072,0.17311165311336124,25.263494376298116,8.050317703089879e-141,3.672554936149603e-137,Fads2,56473,fatty acid desaturase 2 [Source:MGI Symbol;Acc:MGI:1930079]
ENSMUSG00000028542,1015.5815251266616,-3.390179085279742,0.13430630589387177,-25.24214379002164,1.381447412028186e-140,5.041730474938068e-137,Slc6a9,14664,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9 [Source:MGI Symbol;Acc:MGI:95760]"
ENSMUSG00000034220,2350.055883461215,-3.856942140596894,0.15368199194401153,-25.096903624219234,5.375894182684219e-139,1.6349886174270272e-135,Gpc1,14733,glypican 1 [Source:MGI Symbol;Acc:MGI:1194891]
ENSMUSG00000038539,1871.082624743582,-3.064038190465171,0.12245898193867231,-25.020934699584934,3.6185051654629024e-138,9.432926037052434e-135,Atf5,107503,activating transcription factor 5 [Source:MGI Symbol;Acc:MGI:2141857]
ENSMUSG00000032715,4996.268263618443,-2.8719852236214694,0.11636781729210283,-24.680236258211345,1.7435833841958258e-134,3.9771136993506784e-131,Trib3,228775,tribbles pseudokinase 3 [Source:MGI Symbol;Acc:MGI:1345675]
ENSMUSG00000026456,3871.7709519923246,-3.3641580524502963,0.13669696376985707,-24.610334858016238,9.791448650244712e-134,1.985270610774061e-130,Cyb5r1,72017,cytochrome b5 reductase 1 [Source:MGI Symbol;Acc:MGI:1919267]
ENSMUSG00000030717,1071.8420711059046,-3.8610009712534294,0.15901909160281802,-24.280109591476297,3.1805788835963408e-130,5.803920346786603e-127,Nupr1,56312,nuclear protein transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1891834]
ENSMUSG00000045294,2224.1966799671713,2.6032157971386285,0.10781461870531145,24.145295215057715,8.366600094921173e-129,1.3879428957465597e-125,Insig1,231070,insulin induced gene 1 [Source:MGI Symbol;Acc:MGI:1916289]
