ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,ENTREZID,description
ENSMUSG00000018821,1649.505729727817,2.598837239235781,0.1599636552650637,16.246423194877885,2.3678198295380406e-59,4.129241000731389e-55,Avpi1,69534,arginine vasopressin-induced 1 [Source:MGI Symbol;Acc:MGI:1916784]
ENSMUSG00000068874,554.697365741948,-4.90281148032183,0.31271822445082265,-15.678048469774536,2.137202107334704e-55,1.863533377490495e-51,Selenbp1,20341,selenium binding protein 1 [Source:MGI Symbol;Acc:MGI:96825]
ENSMUSG00000015837,12357.812006630578,2.29132584627958,0.15514987814127876,14.768466941321792,2.3397463337187787e-49,1.3600945437907261e-45,Sqstm1,18412,sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931]
ENSMUSG00000036938,507.91067135263023,6.3538726776805845,0.4411843293405446,14.401854860026342,5.037323010368984e-47,2.196146899445618e-43,Try5,103964,trypsin 5 [Source:MGI Symbol;Acc:MGI:102756]
ENSMUSG00000045312,254.42071510564827,4.013481138525415,0.29273938551689116,13.710082541297934,8.835726707083221e-43,3.081724760896486e-39,Lhfpl2,218454,lipoma HMGIC fusion partner-like 2 [Source:MGI Symbol;Acc:MGI:2145236]
ENSMUSG00000026483,5127.922788635009,2.042732308605903,0.1514677326094055,13.486253959274348,1.88434265025608e-41,5.476841912969296e-38,Niban1,63913,niban apoptosis regulator 1 [Source:MGI Symbol;Acc:MGI:2137237]
ENSMUSG00000055013,205.44926620844305,4.7395785877291985,0.3569626476345742,13.277519704473805,3.125771535785854e-40,7.787189973224216e-37,Agap1,347722,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:MGI Symbol;Acc:MGI:2653690]"
ENSMUSG00000005413,2296.608848937918,3.3164357010979244,0.25870468008416914,12.819388114737343,1.2770431758043987e-37,2.7837944928566136e-34,Hmox1,15368,heme oxygenase 1 [Source:MGI Symbol;Acc:MGI:96163]
ENSMUSG00000045382,438.7675931431926,-3.0990576309104,0.25586705243282876,-12.111983944177327,9.125974784954013e-34,1.7683097141645893e-30,Cxcr4,12767,chemokine (C-X-C motif) receptor 4 [Source:MGI Symbol;Acc:MGI:109563]
ENSMUSG00000004558,1300.9711646609064,-2.11340681787009,0.17553531190140323,-12.039781597090697,2.1953608976049386e-33,3.828489869333253e-30,Ndrg2,29811,N-myc downstream regulated gene 2 [Source:MGI Symbol;Acc:MGI:1352498]
ENSMUSG00000022696,174.15083593256043,-3.410098993594179,0.28711453846759494,-11.87713799445603,1.5560419162573298e-32,2.466892270691961e-29,Sidt1,320007,"SID1 transmembrane family, member 1 [Source:MGI Symbol;Acc:MGI:2443155]"
ENSMUSG00000049154,125.1108672691941,-6.185304098175018,0.5247762923140042,-11.786553982652078,4.578959370941429e-32,6.654372705820632e-29,Fam183b,75429,"family with sequence similarity 183, member B [Source:MGI Symbol;Acc:MGI:1922679]"
ENSMUSG00000029095,213.0297800006433,-6.272089709281086,0.5339447582617556,-11.746701530884438,7.3429479318102e-32,9.850282229449084e-29,Ablim2,231148,actin-binding LIM protein 2 [Source:MGI Symbol;Acc:MGI:2385758]
ENSMUSG00000027605,425.7244769439846,-3.0506792948867525,0.26045812368723437,-11.712743882583199,1.0967195238341065e-31,1.3661208411530701e-28,Acss2,60525,acyl-CoA synthetase short-chain family member 2 [Source:MGI Symbol;Acc:MGI:1890410]
ENSMUSG00000030352,283.7768374905859,-5.384258251968236,0.4627063038707853,-11.636448881128354,2.689833821347561e-31,3.127200800698674e-28,Tspan9,109246,tetraspanin 9 [Source:MGI Symbol;Acc:MGI:1924558]
ENSMUSG00000030785,199.22450830866876,4.830449098724826,0.4172854099477629,11.575887830177233,5.460303851915254e-31,5.951389929596882e-28,Cox6a2,12862,cytochrome c oxidase subunit 6A2 [Source:MGI Symbol;Acc:MGI:104649]
ENSMUSG00000044345,1861.2209019710842,1.8424389967307209,0.1624482737365343,11.341696371109913,8.154817647970146e-30,8.36540382135008e-27,Marveld1,277010,MARVEL (membrane-associating) domain containing 1 [Source:MGI Symbol;Acc:MGI:2147570]
ENSMUSG00000045294,2018.2079976005236,-2.4963637492798765,0.22075723199555425,-11.30818558791383,1.1953583441110803e-29,1.1581030090529517e-26,Insig1,231070,insulin induced gene 1 [Source:MGI Symbol;Acc:MGI:1916289]
ENSMUSG00000038539,1406.7126362503163,2.8329885738817024,0.2527264596498759,11.209703082955738,3.6541711303069647e-29,3.3539521232327977e-26,Atf5,107503,activating transcription factor 5 [Source:MGI Symbol;Acc:MGI:2141857]
ENSMUSG00000020256,1336.9965557105131,4.241166870543021,0.38033034849517244,11.151271223355595,7.059058851512616e-29,6.155146365576426e-26,Aldh1l2,216188,"aldehyde dehydrogenase 1 family, member L2 [Source:MGI Symbol;Acc:MGI:2444680]"
ENSMUSG00000022468,510.0013091891557,-5.4062215966966205,0.48780660154023353,-11.082715116250274,1.521862991016177e-28,1.2063531227423232e-25,Endou,19011,"endonuclease, polyU-specific [Source:MGI Symbol;Acc:MGI:97746]"
