ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,ENTREZID,description
ENSMUSG00000037161,232.1103353272855,2.4836961315254142,0.40971926700887934,6.061946145851101,1.3448424839053934e-9,1.2556759610707053e-5,Mgarp,67749,mitochondria localized glutamic acid rich protein [Source:MGI Symbol;Acc:MGI:1914999]
ENSMUSG00000029223,408.81256304734114,-1.2566795862683497,0.2085498630920455,-6.025799142882688,1.6827606018101116e-9,1.2556759610707053e-5,Uchl1,22223,ubiquitin carboxy-terminal hydrolase L1 [Source:MGI Symbol;Acc:MGI:103149]
ENSMUSG00000062070,17431.427740271036,0.7628140181976932,0.12912422206369228,5.907598171793243,3.471314698486081e-9,1.726863352006876e-5,Pgk1,18655,phosphoglycerate kinase 1 [Source:MGI Symbol;Acc:MGI:97555]
ENSMUSG00000035105,1391.2932258325197,1.4541884392932118,0.2594989239526542,5.603832251568526,2.096636307493458e-8,7.822550063258091e-5,Egln3,112407,egl-9 family hypoxia-inducible factor 3 [Source:MGI Symbol;Acc:MGI:1932288]
ENSMUSG00000018909,3655.6257225344316,1.5281959121824753,0.2796597235717127,5.464483382393827,4.642568669766326e-8,1.385713896551853e-4,Arrb1,109689,"arrestin, beta 1 [Source:MGI Symbol;Acc:MGI:99473]"
ENSMUSG00000003955,1585.08983731544,1.0383999195538722,0.19170111052405842,5.416765279633336,6.068692411253915e-8,1.5094860924258906e-4,Fam162a,70186,"family with sequence similarity 162, member A [Source:MGI Symbol;Acc:MGI:1917436]"
ENSMUSG00000039157,4895.80188257075,1.0933298000311797,0.20574657657165846,5.313963509134692,1.0726610776686156e-7,2.2869134175894886e-4,Fam102a,98952,"family with sequence similarity 102, member A [Source:MGI Symbol;Acc:MGI:2138935]"
ENSMUSG00000026828,23.283761728280517,-3.572108075362208,0.683989065261668,-5.222463715842674,1.7655816032713726e-7,3.2936924809027454e-4,Galnt5,241391,polypeptide N-acetylgalactosaminyltransferase 5 [Source:MGI Symbol;Acc:MGI:2179403]
ENSMUSG00000028965,16426.646546598357,0.7548891165399954,0.14545005744266393,5.190022814790368,2.1026831555437466e-7,3.486715934814986e-4,Tnfrsf9,21942,"tumor necrosis factor receptor superfamily, member 9 [Source:MGI Symbol;Acc:MGI:1101059]"
ENSMUSG00000055013,286.0093531474127,-1.11885091779888,0.2188723039770052,-5.111888975758334,3.189532711105354e-7,3.9667155150446923e-4,Agap1,347722,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:MGI Symbol;Acc:MGI:2653690]"
ENSMUSG00000025746,91.21705941626612,-1.870358849101945,0.36437115619304067,-5.133114455720104,2.8498647783423676e-7,3.9667155150446923e-4,Il6,16193,interleukin 6 [Source:MGI Symbol;Acc:MGI:96559]
ENSMUSG00000052727,349.56177662224394,-1.1210108988014718,0.21883412429955634,-5.122651242760242,3.012692708822619e-7,3.9667155150446923e-4,Map1b,17755,microtubule-associated protein 1B [Source:MGI Symbol;Acc:MGI:1306778]
ENSMUSG00000025161,2769.9806008007517,1.024810031700102,0.20330304585875222,5.040800187578616,4.6358931036474453e-7,5.322005282987267e-4,Slc16a3,80879,"solute carrier family 16 (monocarboxylic acid transporters), member 3 [Source:MGI Symbol;Acc:MGI:1933438]"
ENSMUSG00000026830,1280.6260656180739,-2.530170100882559,0.5081180632838577,-4.979492530792182,6.375121315395709e-7,6.342820700731037e-4,Ermn,77767,"ermin, ERM-like protein [Source:MGI Symbol;Acc:MGI:1925017]"
ENSMUSG00000030695,41630.67020718344,0.5519980551171612,0.11074378868930249,4.984460633415935,6.213489425635975e-7,6.342820700731037e-4,Aldoa,11674,"aldolase A, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:87994]"
ENSMUSG00000057666,58798.98625832758,0.57642334055472,0.11927129686480209,4.8328756013118115,1.345748851330352e-6,0.0012552472410783857,Gapdh,14433,glyceraldehyde-3-phosphate dehydrogenase [Source:MGI Symbol;Acc:MGI:95640]
ENSMUSG00000028527,857.2312294738904,1.21704763029914,0.2535967239598188,4.799145711724476,1.5934383816010688e-6,0.0013211374670563528,Ak4,11639,adenylate kinase 4 [Source:MGI Symbol;Acc:MGI:87979]
