ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,ENTREZID,description
ENSMUSG00000027200,208.84774809263064,-1.8262012922967532,0.2534128772790983,-7.2064265711542825,5.743927457035695e-13,7.982910379788208e-9,Sema6d,214968,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D [Source:MGI Symbol;Acc:MGI:2387661]"
ENSMUSG00000055170,133.498585274437,-2.4273970857356852,0.36757046467208754,-6.603895903064967,4.0049079496878526e-11,2.7830105342380886e-7,Ifng,15978,interferon gamma [Source:MGI Symbol;Acc:MGI:107656]
ENSMUSG00000068874,1914.6602709233769,1.2638793230217886,0.1980820401037063,6.380585147245463,1.7641260619272303e-10,8.172608002888216e-7,Selenbp1,20341,selenium binding protein 1 [Source:MGI Symbol;Acc:MGI:96825]
ENSMUSG00000021200,824.294179245567,-1.1991051459462088,0.2143053861214262,-5.59531035429409,2.2022745927186735e-8,7.65180307240103e-5,Asb2,65256,ankyrin repeat and SOCS box-containing 2 [Source:MGI Symbol;Acc:MGI:1929743]
ENSMUSG00000022218,384.7873777408886,1.1310278660284248,0.20657371584660883,5.475178007972072,4.3707202529170513e-08,1.2148854015008235e-4,Tgm1,21816,"transglutaminase 1, K polypeptide [Source:MGI Symbol;Acc:MGI:98730]"
ENSMUSG00000020407,251.7175677767948,-1.2113408699694759,0.23504052114236768,-5.153753336156654,2.5532374366046845e-7,5.914148982321984e-4,Upp1,22271,uridine phosphorylase 1 [Source:MGI Symbol;Acc:MGI:1097668]
ENSMUSG00000038304,180.41348895248248,-1.1624325965246443,0.22822051481949696,-5.0934623359518305,3.5158292159487175e-7,6.980427777607896e-4,Cd160,54215,CD160 antigen [Source:MGI Symbol;Acc:MGI:1860383]
ENSMUSG00000024924,560.316172834764,1.3696916639259091,0.27586036432824096,4.9651629630131975,6.86434055491105e-7,0.0011925075629019221,Vldlr,22359,very low density lipoprotein receptor [Source:MGI Symbol;Acc:MGI:98935]
ENSMUSG00000005533,243.14124557587525,1.2412758481801376,0.2548723844312918,4.870185724317887,1.1149340235809676e-6,0.0015495353059728288,Igf1r,16001,insulin-like growth factor I receptor [Source:MGI Symbol;Acc:MGI:96433]
ENSMUSG00000079017,663.8667762245459,-0.8536945186123526,0.17463277601193913,-4.888512558226687,1.0160071754020738e-6,0.0015495353059728288,Ifi27l2a,76933,"interferon, alpha-inducible protein 27 like 2A [Source:MGI Symbol;Acc:MGI:1924183]"
ENSMUSG00000029468,89.1962909625593,1.3999811157407542,0.29092104002490615,4.812237422294722,1.4924989635507189e-6,0.001728562549618991,P2rx7,18439,"purinergic receptor P2X, ligand-gated ion channel, 7 [Source:MGI Symbol;Acc:MGI:1339957]"
ENSMUSG00000036098,308.0785368740231,-0.9002025771650205,0.18675371788266218,-4.820265895486054,1.4336700672717204e-6,0.001728562549618991,Myrf,225908,myelin regulatory factor [Source:MGI Symbol;Acc:MGI:2684944]
ENSMUSG00000021403,49.85338208744034,-2.957137775090971,0.6195420700201214,-4.773102454519238,1.8140944490760146e-6,0.0019394065117891116,Serpinb9b,20706,"serine (or cysteine) peptidase inhibitor, clade B, member 9b [Source:MGI Symbol;Acc:MGI:894668]"
ENSMUSG00000020610,835.3243407768789,0.8332510860011973,0.17622844979164318,4.728243861796204,2.264700858496612e-6,0.0021891564999849318,Amz2,13929,archaelysin family metallopeptidase 2 [Source:MGI Symbol;Acc:MGI:104837]
ENSMUSG00000037362,653.1855155902105,-1.520220636273851,0.32210588703496207,-4.719630088936695,2.3627390631582946e-6,0.0021891564999849318,Ccn3,18133,cellular communication network factor 3 [Source:MGI Symbol;Acc:MGI:109185]
ENSMUSG00000033460,494.99616417445435,1.0752130913693567,0.2287717540336246,4.699938136643055,2.602403139958259e-6,0.0022605124274462426,Armcx1,78248,"armadillo repeat containing, X-linked 1 [Source:MGI Symbol;Acc:MGI:1925498]"
