ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,ENTREZID,description
ENSMUSG00000040249,1519.554101350257,-3.860872874851932,0.40482800985606326,-9.53706952299241,1.4692534358707581e-21,2.2467823541335634e-17,Lrp1,16971,low density lipoprotein receptor-related protein 1 [Source:MGI Symbol;Acc:MGI:96828]
ENSMUSG00000039997,627.7388197720542,1.7822711828291151,0.24512472710864666,7.270874725091112,3.5716706105551354e-13,2.7308993488304567e-9,Ifi203,15950,interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428]
ENSMUSG00000045667,88.8030948260502,-4.709638015914525,0.6727511190027486,-7.000565116704448,2.5493211158842186e-12,1.2994739501367155e-8,Smtnl2,276829,smoothelin-like 2 [Source:MGI Symbol;Acc:MGI:2442764]
ENSMUSG00000037820,64.11067012092738,-2.617667536719041,0.39891355400786,-6.5619919664786925,5.309367694304358e-11,2.029771269532556e-7,Tgm2,21817,"transglutaminase 2, C polypeptide [Source:MGI Symbol;Acc:MGI:98731]"
ENSMUSG00000043421,711.7720581991216,-2.1129186942585276,0.3350595174110268,-6.306099616524403,2.8615489873176167e-10,8.751761422812199e-7,Hilpda,69573,hypoxia inducible lipid droplet associated [Source:MGI Symbol;Acc:MGI:1916823]
ENSMUSG00000034947,634.3834408529742,-2.5286454675708683,0.40811384513958876,-6.195931595278239,5.79412883276788e-10,1.4767303018447736e-6,Tmem106a,217203,transmembrane protein 106A [Source:MGI Symbol;Acc:MGI:1922056]
ENSMUSG00000006567,114.2230881928099,-2.8915977752365745,0.48507620022212133,-5.961120693846621,2.505138434238161e-9,5.472653848052851e-6,Atp7b,11979,"ATPase, Cu++ transporting, beta polypeptide [Source:MGI Symbol;Acc:MGI:103297]"
ENSMUSG00000032418,245.24538540953841,-1.923248601613891,0.32590120665738975,-5.9013239666698905,3.605960356287531e-9,6.892793221043616e-6,Me1,17436,"malic enzyme 1, NADP(+)-dependent, cytosolic [Source:MGI Symbol;Acc:MGI:97043]"
ENSMUSG00000020826,36.41761583538605,-4.411034219592449,0.757673669700504,-5.821812735469689,5.8212754012479605e-9,9.8909937150982e-6,Nos2,18126,"nitric oxide synthase 2, inducible [Source:MGI Symbol;Acc:MGI:97361]"
ENSMUSG00000034107,75.83099758310067,-2.3348953241712476,0.40523215311283856,-5.761870834373516,8.318665165638251e-9,1.2720902771294015e-5,Ano7,404545,anoctamin 7 [Source:MGI Symbol;Acc:MGI:3052714]
