ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,ENTREZID,description
ENSMUSG00000068874,1399.5943829634,-4.575252450804564,0.16212361386371782,-28.220765265265747,3.252728114229808e-175,5.935578262846554e-171,Selenbp1,20341,selenium binding protein 1 [Source:MGI Symbol;Acc:MGI:96825]
ENSMUSG00000067235,1457.7417058816084,-3.235437182574896,0.12117428657833365,-26.70069099588495,4.620630603909131e-157,4.215863363006691e-153,H2-Q10,15007,"histocompatibility 2, Q region locus 10 [Source:MGI Symbol;Acc:MGI:95929]"
ENSMUSG00000035105,4556.031676291785,-3.102302893015455,0.11649092510307042,-26.631283855549754,2.948662253706779e-156,1.7935729601880435e-152,Egln3,112407,egl-9 family hypoxia-inducible factor 3 [Source:MGI Symbol;Acc:MGI:1932288]
ENSMUSG00000024665,1481.2360061623256,-4.373405007705185,0.17311165275053375,-25.263492885759536,8.050621326774351e-141,3.672693449274459e-137,Fads2,56473,fatty acid desaturase 2 [Source:MGI Symbol;Acc:MGI:1930079]
ENSMUSG00000028542,1015.5815251266616,3.39017924471985,0.13430630617100947,25.24214492507302,1.3814077706410439e-140,5.041585799731554e-137,Slc6a9,14664,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9 [Source:MGI Symbol;Acc:MGI:95760]"
ENSMUSG00000034220,2350.055883461215,3.856942376916634,0.1536819921093627,25.096905134935838,5.375690040656612e-139,1.6349265310316976e-135,Gpc1,14733,glypican 1 [Source:MGI Symbol;Acc:MGI:1194891]
ENSMUSG00000038539,1871.082624743582,3.0640383407855376,0.12245898207452585,25.020935899343268,3.6183963699601674e-138,9.432642422719018e-135,Atf5,107503,activating transcription factor 5 [Source:MGI Symbol;Acc:MGI:2141857]
ENSMUSG00000032715,4996.268263618443,2.8719853809102127,0.11636781735594964,24.680237596321764,1.7435257092883835e-134,3.9769821428868025e-131,Trib3,228775,tribbles pseudokinase 3 [Source:MGI Symbol;Acc:MGI:1345675]
ENSMUSG00000026456,3871.7709519923246,3.364158258428213,0.13669696385659091,24.610336349222493,9.791088728293046e-134,1.9851976345987946e-130,Cyb5r1,72017,cytochrome b5 reductase 1 [Source:MGI Symbol;Acc:MGI:1919267]
ENSMUSG00000030717,1071.8420711059046,3.8610011910786333,0.15901909193198552,24.28011092359924,3.180475838415191e-130,5.80373230994004e-127,Nupr1,56312,nuclear protein transcription regulator 1 [Source:MGI Symbol;Acc:MGI:1891834]
ENSMUSG00000045294,2224.1966799671713,-2.603215675186862,0.10781461866907877,-24.145294092047504,8.36682734963109e-129,1.3879805952369832e-125,Insig1,231070,insulin induced gene 1 [Source:MGI Symbol;Acc:MGI:1916289]
ENSMUSG00000026483,6293.491954118681,2.326727270165815,0.09711961259094214,23.957336814817744,7.748601978087185e-127,1.178304074134458e-123,Niban1,63913,niban apoptosis regulator 1 [Source:MGI Symbol;Acc:MGI:2137237]
ENSMUSG00000030208,990.3029091951687,-3.1496687485740678,0.13177567616028837,-23.901746060804847,2.9373377810638598e-126,4.123118448373332e-123,Emp1,13730,epithelial membrane protein 1 [Source:MGI Symbol;Acc:MGI:107941]
ENSMUSG00000031297,1953.4392207995227,3.034422637937031,0.12876392594320282,23.565782230618698,8.649838210919164e-123,1.1274446262346636e-119,Slc7a3,11989,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 3 [Source:MGI Symbol;Acc:MGI:1100521]"
ENSMUSG00000022468,943.1264540448722,-6.0997786733390935,0.2671395317215413,-22.8336803393716,2.123084279867067e-115,2.5828027959342825e-112,Endou,19011,"endonuclease, polyU-specific [Source:MGI Symbol;Acc:MGI:97746]"
ENSMUSG00000038179,1387.1583541658954,-4.317249331335542,0.19454043258904025,-22.1920413863558,4.0995585711094967e-109,4.675546550350381e-106,Slamf7,75345,SLAM family member 7 [Source:MGI Symbol;Acc:MGI:1922595]
ENSMUSG00000098112,9810.342706063686,2.261920680641399,0.1022324189219395,22.125277915692372,1.8052228735718417e-108,1.9377474704081745e-105,Bin2,668218,bridging integrator 2 [Source:MGI Symbol;Acc:MGI:3611448]
ENSMUSG00000037071,2668.1173685067265,-4.34478821197138,0.19701088857541976,-22.05354355481782,8.832941651973485e-108,8.954639959178453e-105,Scd1,20249,stearoyl-Coenzyme A desaturase 1 [Source:MGI Symbol;Acc:MGI:98239]
ENSMUSG00000093930,3775.98267878098,-2.6583462419160915,0.12274335257660526,-21.65776138676832,5.135923170459266e-104,4.932648737607404e-101,Hmgcs1,208715,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 [Source:MGI Symbol;Acc:MGI:107592]
ENSMUSG00000025432,4295.565534932394,8.670383282439317,0.40718041819549644,21.29371378138443,1.2982138049131921e-100,1.1844902756027966e-97,Avil,11567,advillin [Source:MGI Symbol;Acc:MGI:1333798]
ENSMUSG00000040703,382.8310893014837,-4.98885019877716,0.23784621262951228,-20.97510884711114,1.1071293193699114e-97,9.620426580886734e-95,Cyp2s1,74134,"cytochrome P450, family 2, subfamily s, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1921384]"
ENSMUSG00000017390,2265.722729721744,-3.168138019212072,0.15164971843076083,-20.891156620634003,6.4439774627156e-97,5.344986397256103e-94,Aldoc,11676,"aldolase C, fructose-bisphosphate [Source:MGI Symbol;Acc:MGI:101863]"
ENSMUSG00000024892,1736.075517858994,-2.3376956852974553,0.11329546189757271,-20.63362156033135,1.369959257166422e-94,1.0869137619466464e-91,Pcx,18563,pyruvate carboxylase [Source:MGI Symbol;Acc:MGI:97520]
ENSMUSG00000058454,1188.2855105043375,-2.417356411030389,0.11834439066498259,-20.42645534314852,9.731518556572013e-93,7.399197942513588e-90,Dhcr7,13360,7-dehydrocholesterol reductase [Source:MGI Symbol;Acc:MGI:1298378]
ENSMUSG00000017314,654.1129514893593,-2.983331772138065,0.1485062351308773,-20.088932761031078,9.222309324209336e-90,6.731548021926878e-87,Mpp2,50997,"membrane protein, palmitoylated 2 (MAGUK p55 subfamily member 2) [Source:MGI Symbol;Acc:MGI:1858257]"
ENSMUSG00000027737,420.5814079720738,4.542107548200361,0.2271317225003434,19.997680192794267,5.769433892279438e-89,4.049254987165969e-86,Slc7a11,26570,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 11 [Source:MGI Symbol;Acc:MGI:1347355]"
ENSMUSG00000020142,1528.4951361395497,2.5220787402696523,0.12618642015062326,19.986926780703946,7.15702692417502e-89,4.837089900457251e-86,Slc1a4,55963,"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:MGI Symbol;Acc:MGI:2135601]"
ENSMUSG00000030124,2448.7698238657003,-3.7114440529298056,0.1877075821713324,-19.772478074658377,5.138876340839102e-87,3.3490791238439975e-84,Lag3,16768,lymphocyte-activation gene 3 [Source:MGI Symbol;Acc:MGI:106588]
ENSMUSG00000028266,825.5745956439808,2.4997453742591875,0.12716417810854783,19.65762222852882,4.975044578756172e-86,3.1305039128669873e-83,Lmo4,16911,LIM domain only 4 [Source:MGI Symbol;Acc:MGI:109360]
ENSMUSG00000023832,1112.0966156378845,-2.6753428122648972,0.13612403237557405,-19.653714083957432,5.3733381140455304e-86,3.2684224635034277e-83,Acat2,110460,acetyl-Coenzyme A acetyltransferase 2 [Source:MGI Symbol;Acc:MGI:87871]
ENSMUSG00000036938,655.187149568678,8.17238456344201,0.41659249517085056,19.61721504390135,1.1022892637167877e-85,6.488572414291594e-83,Try5,103964,trypsin 5 [Source:MGI Symbol;Acc:MGI:102756]
ENSMUSG00000039050,2068.8578364464065,2.2499450205567575,0.11751168035847909,19.146564951612593,1.0338540902540242e-81,5.895552949673573e-79,Osbpl2,228983,oxysterol binding protein-like 2 [Source:MGI Symbol;Acc:MGI:2442832]
ENSMUSG00000015837,13927.591404846471,2.2738303760320018,0.11903685746155714,19.101901919465018,2.4345519210639874e-81,1.3462334380477467e-78,Sqstm1,18412,sequestosome 1 [Source:MGI Symbol;Acc:MGI:107931]
ENSMUSG00000021670,6298.310795058096,-1.7790607221077779,0.09361593942734808,-19.003822778368228,1.5856362965559494e-80,8.510203276339108e-78,Hmgcr,15357,3-hydroxy-3-methylglutaryl-Coenzyme A reductase [Source:MGI Symbol;Acc:MGI:96159]
ENSMUSG00000046079,1890.6382174172686,1.9818641500989242,0.10514052395409844,18.849669714069083,2.9568263882662646e-79,1.54160479808808e-76,Lrrc8d,231549,leucine rich repeat containing 8D [Source:MGI Symbol;Acc:MGI:1922368]
ENSMUSG00000033105,2510.2378009954277,-2.116344522415734,0.11347555734951179,-18.65022364153067,1.2575019157136474e-77,6.3741374883174e-75,Lss,16987,lanosterol synthase [Source:MGI Symbol;Acc:MGI:1336155]
ENSMUSG00000074749,740.7696600943065,2.81634445554253,0.1511315657900996,18.635051127929387,1.6699472835305067e-77,8.235999467530996e-75,Kiz,228730,kizuna centrosomal protein [Source:MGI Symbol;Acc:MGI:2684960]
ENSMUSG00000033159,3339.630420754173,1.9408008000976156,0.10577577384635523,18.34825432633307,3.408898244619347e-75,1.6369888202056275e-72,Cnppd1,69171,cyclin Pas1/PHO80 domain containing 1 [Source:MGI Symbol;Acc:MGI:1916421]
ENSMUSG00000001227,509.1467607032053,-3.364430793469374,0.18342015442521706,-18.342754121064154,3.771946718296942e-75,1.7648841978328872e-72,Sema6b,20359,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6B [Source:MGI Symbol;Acc:MGI:1202889]"
ENSMUSG00000035504,776.398166029112,2.7637928377645844,0.15174185055709005,18.213781020976533,4.0125440865472616e-74,1.830522612282861e-71,Reep6,70335,receptor accessory protein 6 [Source:MGI Symbol;Acc:MGI:1917585]
ENSMUSG00000001270,486.724811067978,-2.717628980077861,0.1500761647412473,-18.108331757834037,2.739244262393094e-73,1.2191641292719312e-70,Ckb,12709,"creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]"
ENSMUSG00000044345,2266.247281735905,2.1663478640976126,0.11998045102169841,18.055840311067254,7.097356463797252e-73,3.0836323988421965e-70,Marveld1,277010,MARVEL (membrane-associating) domain containing 1 [Source:MGI Symbol;Acc:MGI:2147570]
ENSMUSG00000001467,3512.4755011614075,-1.9054431156036125,0.10558474875978391,-18.04657526759561,8.393669342044647e-73,3.562039026828621e-70,Cyp51,13121,"cytochrome P450, family 51 [Source:MGI Symbol;Acc:MGI:106040]"
ENSMUSG00000037944,2225.841480918187,-2.5691686537637244,0.1436762933590583,-17.88164625978463,1.6392447264360538e-71,6.798394947273889e-69,Ccr7,12775,chemokine (C-C motif) receptor 7 [Source:MGI Symbol;Acc:MGI:103011]
ENSMUSG00000010095,9894.630041999531,1.6270692220846878,0.0914660426315553,17.78877904053277,8.63407808932357e-71,3.5012145994217e-68,Slc3a2,17254,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2 [Source:MGI Symbol;Acc:MGI:96955]"
ENSMUSG00000039982,283.3434835583985,4.817770549139005,0.27430509046606905,17.56354773056956,4.68531973780732e-69,1.8586459690327823e-66,Dtx4,207521,"deltex 4, E3 ubiquitin ligase [Source:MGI Symbol;Acc:MGI:2672905]"
ENSMUSG00000030738,22022.048128566126,1.825500043403877,0.10395365853151654,17.560709927784064,4.925533402720179e-69,1.9123645432518685e-66,Eif3c,56347,"eukaryotic translation initiation factor 3, subunit C [Source:MGI Symbol;Acc:MGI:1926966]"
ENSMUSG00000036534,1042.9675958212774,2.214540088247407,0.1267045159502318,17.47798862289372,2.1080479037567282e-68,8.014095447448496e-66,Slc38a7,234595,"solute carrier family 38, member 7 [Source:MGI Symbol;Acc:MGI:2679005]"
ENSMUSG00000021000,7762.710920806651,2.152180351454379,0.12365649896569314,17.40450659250407,7.626023250800804e-68,2.8399933118492464e-65,Mia2,338320,MIA SH3 domain ER export factor 2 [Source:MGI Symbol;Acc:MGI:2159614]
ENSMUSG00000006517,1419.3963556792798,-2.254316156914405,0.1299344861204379,-17.34963691490534,1.9849480835595817e-67,7.244266525759049e-65,Mvd,192156,mevalonate (diphospho) decarboxylase [Source:MGI Symbol;Acc:MGI:2179327]
ENSMUSG00000056919,1194.5402761108103,2.083428809639508,0.12018072776338762,17.33579791380006,2.525379621896635e-67,9.035907321641137e-65,Cep162,382090,centrosomal protein 162 [Source:MGI Symbol;Acc:MGI:1925343]
ENSMUSG00000025348,383.4869467981602,-7.22841065290471,0.41995941916385343,-17.212164611753686,2.1523401379662144e-66,7.553058238001438e-64,Itga7,16404,integrin alpha 7 [Source:MGI Symbol;Acc:MGI:102700]
ENSMUSG00000032688,5299.591502550323,-2.3934622130846996,0.1394744889661046,-17.16057345559706,5.239374975369239e-66,1.8039266896327902e-63,Malt1,240354,MALT1 paracaspase [Source:MGI Symbol;Acc:MGI:2445027]
ENSMUSG00000024359,26699.92431208675,1.766210300170974,0.10368635527064436,17.034163227753293,4.5824930597653044e-65,1.5485432102703199e-62,Hspa9,15526,heat shock protein 9 [Source:MGI Symbol;Acc:MGI:96245]
ENSMUSG00000022218,291.39403493891984,-3.1877556959959676,0.188501863172093,-16.91100364926209,3.73295894817195e-64,1.2385279070225772e-61,Tgm1,21816,"transglutaminase 1, K polypeptide [Source:MGI Symbol;Acc:MGI:98730]"
ENSMUSG00000021226,518.7321427161087,2.936703426846471,0.17396988942381195,16.880527064613474,6.258357715160769e-64,2.0393305640402445e-61,Acot2,171210,acyl-CoA thioesterase 2 [Source:MGI Symbol;Acc:MGI:2159605]
ENSMUSG00000030785,238.9572554535214,5.325734452100088,0.31827945571305566,16.732887896168503,7.548768937294274e-63,2.4166655362762442e-60,Cox6a2,12862,cytochrome c oxidase subunit 6A2 [Source:MGI Symbol;Acc:MGI:104649]
ENSMUSG00000063659,1110.890765011836,2.129905875589558,0.12806146211309163,16.63190346607654,4.093794345925794e-62,1.2879924004216189e-59,Zbtb18,30928,zinc finger and BTB domain containing 18 [Source:MGI Symbol;Acc:MGI:1353609]
ENSMUSG00000071359,1211.601696451723,1.8714860343040296,0.11267733815714105,16.60924960522261,5.973576268907147e-62,1.8475562670341967e-59,Tbpl1,237336,TATA box binding protein-like 1 [Source:MGI Symbol;Acc:MGI:1339946]
ENSMUSG00000022475,7538.865563734683,-2.474897994428475,0.14983570647754937,-16.517411320774205,2.749484760498245e-61,8.362099651595328e-59,Hdac7,56233,histone deacetylase 7 [Source:MGI Symbol;Acc:MGI:1891835]
ENSMUSG00000016756,722.209591672015,-3.107482880353754,0.18831929840570136,-16.501138792792332,3.600381207936983e-61,1.0770451849579356e-58,Cmah,12763,cytidine monophospho-N-acetylneuraminic acid hydroxylase [Source:MGI Symbol;Acc:MGI:103227]
ENSMUSG00000017167,271.4274831745206,-4.685058044496835,0.2853020517093908,-16.42139625854862,1.3443719826798713e-60,3.956790312893918e-58,Cntnap1,53321,contactin associated protein-like 1 [Source:MGI Symbol;Acc:MGI:1858201]
ENSMUSG00000017009,591.6498528767465,-2.67666918479875,0.1631101730381468,-16.410191559129508,1.6169450460996377e-60,4.6834941589247925e-58,Sdc4,20971,syndecan 4 [Source:MGI Symbol;Acc:MGI:1349164]
ENSMUSG00000021266,5470.635346626024,2.5167933810448373,0.1538807988957476,16.355473841476055,3.976035898678495e-60,1.1336672356107059e-57,Wars,22375,tryptophanyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:104630]
ENSMUSG00000026439,2815.20000598488,1.766314431461782,0.10805757576588514,16.34604902934927,4.641141518622786e-60,1.30294692972044e-57,Rbbp5,213464,"retinoblastoma binding protein 5, histone lysine methyltransferase complex subunit [Source:MGI Symbol;Acc:MGI:1918367]"
ENSMUSG00000029993,1895.1540619786563,1.8937046122202346,0.11586934604367187,16.343447830511494,4.843483870106511e-60,1.3391499039652063e-57,Nfu1,56748,NFU1 iron-sulfur cluster scaffold [Source:MGI Symbol;Acc:MGI:1913290]
ENSMUSG00000022043,4871.23744290839,1.562063051689907,0.09596479808002491,16.277458848892746,1.4267160530748905e-59,3.8857782890314326e-57,Trim35,66854,tripartite motif-containing 35 [Source:MGI Symbol;Acc:MGI:1914104]
ENSMUSG00000024378,3812.6203806381086,-1.8909603131270052,0.1163175718332881,-16.25687575250642,1.9966283591441546e-59,5.358010926126843e-57,Stard4,170459,StAR-related lipid transfer (START) domain containing 4 [Source:MGI Symbol;Acc:MGI:2156764]
ENSMUSG00000025151,284.49780568530156,-5.2134796883875625,0.32239008376701744,-16.171340096661293,8.033178670609872e-59,2.1244847011781004e-56,Maged1,94275,MAGE family member D1 [Source:MGI Symbol;Acc:MGI:1930187]
ENSMUSG00000064247,360.1409931277301,-2.78744380811631,0.17241255255690807,-16.167290413476483,8.578932407105491e-59,2.2364051223551576e-56,Plcxd1,403178,"phosphatidylinositol-specific phospholipase C, X domain containing 1 [Source:MGI Symbol;Acc:MGI:2685422]"
ENSMUSG00000048612,221.2387772895925,-6.161541711566625,0.3824325490945873,-16.111446910452926,2.1200449247638276e-58,5.448814054519764e-56,Myof,226101,myoferlin [Source:MGI Symbol;Acc:MGI:1919192]
ENSMUSG00000032252,737.45976314254,2.1202496840303953,0.13163461214628924,16.107083459737034,2.275041016751536e-58,5.765965065789171e-56,Glce,93683,glucuronyl C5-epimerase [Source:MGI Symbol;Acc:MGI:2136405]
ENSMUSG00000006567,195.80553196100232,-4.767599251969816,0.29687015017079316,-16.059544043841914,4.901409530720077e-58,1.2252180974873969e-55,Atp7b,11979,"ATPase, Cu++ transporting, beta polypeptide [Source:MGI Symbol;Acc:MGI:103297]"
ENSMUSG00000004558,2100.021056513999,-2.158160561217979,0.13471707851988507,-16.019947767048862,9.272813594258811e-58,2.286625709027497e-55,Ndrg2,29811,N-myc downstream regulated gene 2 [Source:MGI Symbol;Acc:MGI:1352498]
ENSMUSG00000025137,1596.703987171572,-1.7441554659012486,0.10930323132381073,-15.957034799220066,2.5454052974981645e-57,6.1931407824995344e-55,Pcyt2,68671,"phosphate cytidylyltransferase 2, ethanolamine [Source:MGI Symbol;Acc:MGI:1915921]"
ENSMUSG00000073421,713.6016409823459,-2.803344595232233,0.17681719320952693,-15.854479671048122,1.3090732855634289e-56,3.14315385723177e-54,H2-Ab1,14961,"histocompatibility 2, class II antigen A, beta 1 [Source:MGI Symbol;Acc:MGI:103070]"
ENSMUSG00000038615,8959.63166077725,1.829310743327915,0.11590024155808389,15.78349379376529,4.041825092629957e-56,9.578600557183305e-54,Nfe2l1,18023,"nuclear factor, erythroid derived 2,-like 1 [Source:MGI Symbol;Acc:MGI:99421]"
ENSMUSG00000055013,238.27395999121256,5.5422112312014,0.3513626783078679,15.773477302405047,4.736844653145669e-56,1.1081787337256689e-53,Agap1,347722,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:MGI Symbol;Acc:MGI:2653690]"
ENSMUSG00000032228,2489.0100216987043,1.818910566070433,0.11636899564960919,15.630542791202148,4.50945310340261e-55,1.0416265852011498e-52,Tcf12,21406,transcription factor 12 [Source:MGI Symbol;Acc:MGI:101877]
ENSMUSG00000020107,1404.0848123237945,1.7972969144467474,0.11547583809599296,15.564268197410156,1.2731795479244715e-54,2.9041225488157196e-52,Anapc16,52717,anaphase promoting complex subunit 16 [Source:MGI Symbol;Acc:MGI:1289325]
ENSMUSG00000026879,2271.344876390671,-1.9375701874742428,0.12476292580650923,-15.530015627231743,2.1732683841572773e-54,4.8960248733459256e-52,Gsn,227753,gelsolin [Source:MGI Symbol;Acc:MGI:95851]
ENSMUSG00000074802,464.88429981925003,-2.6797556297002894,0.17334237656095647,-15.45932208191425,6.52819500213602e-54,1.4527622243777818e-51,Gas2l3,237436,growth arrest-specific 2 like 3 [Source:MGI Symbol;Acc:MGI:1918780]
ENSMUSG00000035311,2668.1936610203625,-1.5510913669870243,0.10049210710672125,-15.434957148821512,9.526366458125683e-54,2.0944233147937045e-51,Gnptab,432486,"N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits [Source:MGI Symbol;Acc:MGI:3643902]"
ENSMUSG00000004952,593.2610742010565,-2.4083055782138767,0.1569138581016357,-15.34794700321483,3.6557350321110355e-53,7.941649150709783e-51,Rasa4,54153,RAS p21 protein activator 4 [Source:MGI Symbol;Acc:MGI:1858600]
ENSMUSG00000026797,466.95000595486755,-2.689745263085409,0.17538238938291253,-15.336461503058244,4.363403870264918e-53,9.367458097011085e-51,Stxbp1,20910,syntaxin binding protein 1 [Source:MGI Symbol;Acc:MGI:107363]
ENSMUSG00000031202,408.47478193118667,2.688549820042953,0.17582141773738097,15.291366971336547,8.72983381644354e-53,1.8523489242146709e-50,Rab39b,67790,"RAB39B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1915040]"
ENSMUSG00000018906,1386.1522954371485,-2.449416806295104,0.16027197623919084,-15.282876419016509,9.945231511999428e-53,2.0859837313904087e-50,P4ha2,18452,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha II polypeptide [Source:MGI Symbol;Acc:MGI:894286]"
ENSMUSG00000053338,405.5925339454966,3.8558269340416556,0.252379534140298,15.27789068624795,1.073597924143603e-52,2.2262516954286896e-50,Tarm1,245126,"T cell-interacting, activating receptor on myeloid cells 1 [Source:MGI Symbol;Acc:MGI:2442280]"
ENSMUSG00000025986,583.4764560949532,-2.349369722392399,0.15396549667368015,-15.259066304782138,1.4328389445359919e-52,2.93780281571829e-50,Slc39a10,227059,"solute carrier family 39 (zinc transporter), member 10 [Source:MGI Symbol;Acc:MGI:1914515]"
ENSMUSG00000016481,1585.7930501069625,1.802391595401578,0.11824225002230376,15.24321124692398,1.8266730109482156e-52,3.703681011531449e-50,Cr1l,12946,complement component (3b/4b) receptor 1-like [Source:MGI Symbol;Acc:MGI:88513]
ENSMUSG00000027858,293.6366358225663,-3.1816957534210752,0.2096846752618537,-15.173716197656226,5.280073631393274e-52,1.058799820062247e-49,Tspan2,70747,tetraspanin 2 [Source:MGI Symbol;Acc:MGI:1917997]
ENSMUSG00000003528,1366.7826146515322,-1.7655178632994957,0.11669492909502598,-15.129345182272786,1.0372233250016855e-51,2.057309916807691e-49,Slc25a1,13358,"solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1 [Source:MGI Symbol;Acc:MGI:1345283]"
ENSMUSG00000025068,3709.1649398402733,2.4785932945025126,0.1639326455208321,15.119583330261941,1.2030138569876177e-51,2.3604942862698978e-49,Gsto1,14873,glutathione S-transferase omega 1 [Source:MGI Symbol;Acc:MGI:1342273]
ENSMUSG00000027952,745.1265973970135,-1.9891851217379117,0.13158989638265642,-15.116549039247415,1.259735218990372e-51,2.4454944974613092e-49,Pmvk,68603,phosphomevalonate kinase [Source:MGI Symbol;Acc:MGI:1915853]
ENSMUSG00000041313,6838.157041289616,1.5639237625866202,0.10361381177885372,15.093776937041492,1.779571326598899e-51,3.41827553345018e-49,Slc7a1,11987,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 1 [Source:MGI Symbol;Acc:MGI:88117]"
ENSMUSG00000020412,4278.974245195262,2.217144545087138,0.14700608626139006,15.081991511187198,2.1275350378030852e-51,4.044089517690698e-49,Ascc2,75452,activating signal cointegrator 1 complex subunit 2 [Source:MGI Symbol;Acc:MGI:1922702]
ENSMUSG00000028893,5844.746864873469,2.035034076665482,0.13500284577500352,15.07400873650531,2.4009228917041144e-51,4.514460695974346e-49,Sesn2,230784,sestrin 2 [Source:MGI Symbol;Acc:MGI:2651874]
ENSMUSG00000028671,933.3276561112635,-1.9234364730697322,0.1276049898476175,-15.073364100938756,2.4244692470708346e-51,4.514460695974346e-49,Gale,74246,"galactose-4-epimerase, UDP [Source:MGI Symbol;Acc:MGI:1921496]"
ENSMUSG00000031604,1775.17889285455,-1.6678604318318544,0.11079412062474232,-15.05369077733707,3.2649911146376225e-51,6.0181371575663976e-49,Msmo1,66234,methylsterol monoxygenase 1 [Source:MGI Symbol;Acc:MGI:1913484]
ENSMUSG00000063952,621.0702153991259,2.329589427779432,0.15476973034330574,15.051970579854368,3.351017975599024e-51,6.114937601873098e-49,Brpf3,268936,"bromodomain and PHD finger containing, 3 [Source:MGI Symbol;Acc:MGI:2146836]"
ENSMUSG00000074578,4988.26504073389,1.8930243941445983,0.12590166212880702,15.035737909543162,4.2824950322200525e-51,7.737323697816982e-49,Zfas1,68949,"zinc finger, NFX1-type containing 1, antisense RNA 1 [Source:MGI Symbol;Acc:MGI:1916199]"
ENSMUSG00000038742,748.2683707228598,2.642195151362059,0.1765192535954844,14.96831137421969,1.1828664226717188e-50,2.1161712236189733e-48,Angptl6,70726,angiopoietin-like 6 [Source:MGI Symbol;Acc:MGI:1917976]
ENSMUSG00000063882,1181.2936780991222,-1.9810039432117097,0.13272030642707563,-14.926155586448937,2.227430493540105e-50,3.9462283151572655e-48,Uqcrh,66576,ubiquinol-cytochrome c reductase hinge protein [Source:MGI Symbol;Acc:MGI:1913826]
ENSMUSG00000055322,402.110723713091,-2.591229256509364,0.17407805001514745,-14.885445099390116,4.0975048056985225e-50,7.1895449706141e-48,Tns1,21961,tensin 1 [Source:MGI Symbol;Acc:MGI:104552]
ENSMUSG00000022707,1157.8589124617797,-2.31715925294987,0.15609957227149512,-14.844110199865035,7.595594486898381e-50,1.3200419828278255e-47,Gbe1,74185,"glucan (1,4-alpha-), branching enzyme 1 [Source:MGI Symbol;Acc:MGI:1921435]"
ENSMUSG00000049422,490.49151335191743,2.1496036892779355,0.14502803997682198,14.821986766293469,1.0561386910354278e-49,1.8181527201900459e-47,Chchd10,103172,coiled-coil-helix-coiled-coil-helix domain containing 10 [Source:MGI Symbol;Acc:MGI:2143558]
ENSMUSG00000024231,2485.0570880336586,1.6739215301781871,0.11349934335756287,14.748292639057349,3.1554693020314068e-49,5.38140222649244e-47,Cul2,71745,cullin 2 [Source:MGI Symbol;Acc:MGI:1918995]
ENSMUSG00000031960,9164.975804810907,1.427223326132808,0.09699048084125239,14.715086612146948,5.158015235751566e-49,8.715135372406905e-47,Aars,234734,alanyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:2384560]
ENSMUSG00000031700,1868.017914260247,1.662446292955589,0.11299185943228876,14.712974025813097,5.321625491805587e-49,8.90908458481361e-47,Gpt2,108682,glutamic pyruvate transaminase (alanine aminotransferase) 2 [Source:MGI Symbol;Acc:MGI:1915391]
ENSMUSG00000027122,3027.2362525349113,1.5527821165424718,0.10569713449597502,14.690862944837944,7.376833376643924e-49,1.2237495950636213e-46,Arl14ep,212772,ADP-ribosylation factor-like 14 effector protein [Source:MGI Symbol;Acc:MGI:1926020]
ENSMUSG00000045667,215.50707288272122,-4.290314659252666,0.29277065809568137,-14.65418251664596,1.2667201824760758e-48,2.0824423324165253e-46,Smtnl2,276829,smoothelin-like 2 [Source:MGI Symbol;Acc:MGI:2442764]
ENSMUSG00000017830,453.6023173290233,-2.9892534452600668,0.2041631589164272,-14.641492917356835,1.526785639819645e-48,2.4875700317347217e-46,Dhx58,80861,DEXH (Asp-Glu-X-His) box polypeptide 58 [Source:MGI Symbol;Acc:MGI:1931560]
ENSMUSG00000037936,1210.133743012203,-2.0197197935212974,0.13810209397860504,-14.624831060376211,1.9505444342908334e-48,3.149870339552135e-46,Scarb1,20778,"scavenger receptor class B, member 1 [Source:MGI Symbol;Acc:MGI:893578]"
