ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,ENTREZID,description
ENSMUSG00000049154,138.49590595805748,-3.9660655174072854,0.323477934233038,-12.260698791745334,1.4722478025290664e-34,2.2388472333059514e-30,Fam183b,75429,"family with sequence similarity 183, member B [Source:MGI Symbol;Acc:MGI:1922679]"
ENSMUSG00000025348,233.25636180853655,-7.47398150945127,0.6924380158455162,-10.793719204346406,3.685654342641692e-27,2.802387279427611e-23,Itga7,16404,integrin alpha 7 [Source:MGI Symbol;Acc:MGI:102700]
ENSMUSG00000068874,684.2529396748951,-2.258306933229355,0.2152638550686694,-10.49087842689128,9.513971900064607e-26,4.82263235614275e-22,Selenbp1,20341,selenium binding protein 1 [Source:MGI Symbol;Acc:MGI:96825]
ENSMUSG00000022707,738.8113977322593,-2.251226023400871,0.22307453232338606,-10.09181101918582,6.005123241541075e-24,2.282997728352878e-20,Gbe1,74185,"glucan (1,4-alpha-), branching enzyme 1 [Source:MGI Symbol;Acc:MGI:1921435]"
ENSMUSG00000003955,2417.5132355440483,-1.928942538663544,0.19492231159261753,-9.895955588167777,4.334508317693792e-23,1.31829735974339e-19,Fam162a,70186,"family with sequence similarity 162, member A [Source:MGI Symbol;Acc:MGI:1917436]"
ENSMUSG00000026959,77.41415624563919,-4.934991949684292,0.5179311351878583,-9.528278209986983,1.5991337738798578e-21,4.0530045498985e-18,Grin1,14810,"glutamate receptor, ionotropic, NMDA1 (zeta 1) [Source:MGI Symbol;Acc:MGI:95819]"
ENSMUSG00000040249,1497.5740455565342,-4.290030430233804,0.4923641603173389,-8.713124910368762,2.956106115014326e-18,6.421929384431836e-15,Lrp1,16971,low density lipoprotein receptor-related protein 1 [Source:MGI Symbol;Acc:MGI:96828]
ENSMUSG00000024164,122.61417219106596,-3.8105451816466336,0.4454796090753929,-8.553803819563237,1.1909725490733673e-17,2.263889944219837e-14,C3,12266,complement component 3 [Source:MGI Symbol;Acc:MGI:88227]
ENSMUSG00000023175,8692.031338551358,-1.40877010762224,0.16721680511009562,-8.424811768737628,3.613306514702309e-17,6.105283574342002e-14,Bsg,12215,basigin [Source:MGI Symbol;Acc:MGI:88208]
ENSMUSG00000045667,87.17113994410502,-5.865402445954958,0.705412460716373,-8.314855169978738,9.186438594288373e-17,1.396981717033433e-13,Smtnl2,276829,smoothelin-like 2 [Source:MGI Symbol;Acc:MGI:2442764]
ENSMUSG00000027456,281.36871613817397,-1.7943522787751305,0.21893870176090655,-8.195683377782448,2.4917343432269215e-16,3.4447094688592545e-13,Sdcbp2,228765,syndecan binding protein (syntenin) 2 [Source:MGI Symbol;Acc:MGI:2385156]
ENSMUSG00000025515,66.8617746209999,-5.478617880138097,0.6745326029121133,-8.122094998055893,4.582044398776542e-16,5.806595764349573e-13,Muc2,17831,mucin 2 [Source:MGI Symbol;Acc:MGI:1339364]
ENSMUSG00000031765,3102.409805139036,-1.909970007499596,0.23588163694902617,-8.097154285529818,5.625970245979715e-16,6.58108688697027e-13,Mt1,17748,metallothionein 1 [Source:MGI Symbol;Acc:MGI:97171]
ENSMUSG00000039997,666.2561331175499,1.8876730652392981,0.23433588804535396,8.055416014101745,7.920894123709255e-16,8.603788352803332e-13,Ifi203,15950,interferon activated gene 203 [Source:MGI Symbol;Acc:MGI:96428]
ENSMUSG00000037161,283.95408428027207,-2.5232408013085132,0.3194617025276273,-7.898414055094136,2.8247444814376657e-15,2.8637259552815054e-12,Mgarp,67749,mitochondria localized glutamic acid rich protein [Source:MGI Symbol;Acc:MGI:1914999]
ENSMUSG00000037820,62.93975331801841,-2.8476132596506756,0.36434640662895246,-7.815675433710707,5.466907693470686e-15,5.195954080913045e-12,Tgm2,21817,"transglutaminase 2, C polypeptide [Source:MGI Symbol;Acc:MGI:98731]"
ENSMUSG00000027603,212.2726681399523,-1.6035507242858276,0.21048630503167645,-7.61831380927375,2.5701086681533413e-14,2.29903779509458e-11,Ggt7,207182,gamma-glutamyltransferase 7 [Source:MGI Symbol;Acc:MGI:1913385]
ENSMUSG00000043421,706.4019195966192,-2.189002129123515,0.29573040613151796,-7.40201914898807,1.3412915291544683e-13,1.1331677935473334e-10,Hilpda,69573,hypoxia inducible lipid droplet associated [Source:MGI Symbol;Acc:MGI:1916823]
ENSMUSG00000034758,106.95984807410797,-1.8029365604218461,0.24813414605131298,-7.265975236028206,3.703564373749168e-13,2.9642159700844e-10,Tle6,114606,transducin-like enhancer of split 6 [Source:MGI Symbol;Acc:MGI:2149593]
ENSMUSG00000026357,131.6929514613521,1.8115850382617864,0.2498917323659698,7.249479689102703,4.183756913432791e-13,3.1811195691286227e-10,Rgs18,64214,regulator of G-protein signaling 18 [Source:MGI Symbol;Acc:MGI:1927498]
ENSMUSG00000004933,309.57339784393884,-2.3516932086926543,0.3414220060150234,-6.88793682674682,5.660733685348679e-12,4.099179864433208e-9,Matk,17179,megakaryocyte-associated tyrosine kinase [Source:MGI Symbol;Acc:MGI:99259]
ENSMUSG00000037010,62.917833025086374,-3.7877214753178663,0.5504619513056562,-6.880986898973967,5.9439318362004665e-12,4.108607792413659e-9,Apln,30878,apelin [Source:MGI Symbol;Acc:MGI:1353624]
ENSMUSG00000032968,85.39663989776255,-2.32652495126991,0.3468971879085749,-6.706669965520355,1.9911589938295615e-11,1.316502383442006e-8,Inha,16322,inhibin alpha [Source:MGI Symbol;Acc:MGI:96569]
ENSMUSG00000026211,129.87408563403665,-2.5122952597298798,0.37824632294872473,-6.641955538773202,3.0954835103513136e-11,1.961375739246351e-8,Obsl1,98733,obscurin-like 1 [Source:MGI Symbol;Acc:MGI:2138628]
ENSMUSG00000021831,11598.89867763998,-1.8325859806590468,0.27700582173677035,-6.615694822473781,3.698105865287526e-11,2.249483835737096e-8,Ero1a,50527,endoplasmic reticulum oxidoreductase 1 alpha [Source:MGI Symbol;Acc:MGI:1354385]
ENSMUSG00000000753,47.26742616591234,-2.960162401406284,0.45179881914664394,-6.5519480705979465,5.679129244880073e-11,3.3216353241112026e-8,Serpinf1,20317,"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"
ENSMUSG00000041075,230.86273810946938,-1.893675078657538,0.2897118429426576,-6.536408934557609,6.301347582279482e-11,3.549058988286077e-8,Fzd7,14369,frizzled class receptor 7 [Source:MGI Symbol;Acc:MGI:108570]
ENSMUSG00000044005,222.94066329333037,-1.7409832821007794,0.2666206121054093,-6.52981503700275,6.585096195146481e-11,3.576412779985448e-8,Gls2,216456,"glutaminase 2 (liver, mitochondrial) [Source:MGI Symbol;Acc:MGI:2143539]"
ENSMUSG00000039891,144.9693907127223,1.6939012765469619,0.2604221694566088,6.504443458409932,7.798153966488729e-11,4.089190598910141e-8,Txlnb,378431,taxilin beta [Source:MGI Symbol;Acc:MGI:2671945]
ENSMUSG00000026420,1459.732140128253,-1.3635938993701484,0.21040580287285832,-6.4807808565723155,9.124912543295395e-11,4.625418168196435e-8,Il24,93672,interleukin 24 [Source:MGI Symbol;Acc:MGI:2135548]
ENSMUSG00000074652,110.48346641733497,-3.618949465793881,0.5605533752512569,-6.456030104486944,1.0748523630500236e-10,5.2726709306134545e-8,Myh7b,668940,"myosin, heavy chain 7B, cardiac muscle, beta [Source:MGI Symbol;Acc:MGI:3710243]"
ENSMUSG00000030406,677.5942859068969,-5.579610372791856,0.8823736055639548,-6.323410330509306,2.5585270047672847e-10,1.215860005046753e-7,Gipr,381853,gastric inhibitory polypeptide receptor [Source:MGI Symbol;Acc:MGI:1352753]
ENSMUSG00000020681,46.9562002512233,-8.059624079195329,1.2903332345031733,-6.246157088481556,4.2067410414260144e-10,1.9385427580898606e-7,Ace,11421,angiotensin I converting enzyme (peptidyl-dipeptidase A) 1 [Source:MGI Symbol;Acc:MGI:87874]
ENSMUSG00000022051,2313.973247537556,-1.1871008472431288,0.19192148416620594,-6.185346327434022,6.196627448187994e-10,2.771532753076318e-7,Bnip3l,12177,BCL2/adenovirus E1B interacting protein 3-like [Source:MGI Symbol;Acc:MGI:1332659]
ENSMUSG00000032418,263.1900943124768,-1.5024786130441645,0.2432148457458119,-6.177577723254736,6.509253347712049e-10,2.8281775902473464e-7,Me1,17436,"malic enzyme 1, NADP(+)-dependent, cytosolic [Source:MGI Symbol;Acc:MGI:97043]"
ENSMUSG00000026068,1589.2589909595963,1.1208107671325136,0.181708389240821,6.168183933693261,6.907876274125136e-10,2.918002069461693e-7,Il18rap,16174,interleukin 18 receptor accessory protein [Source:MGI Symbol;Acc:MGI:1338888]
ENSMUSG00000028654,124.01970210949568,-2.2869846204812334,0.3710490820188059,-6.163563612765715,7.112578625062052e-10,2.9232698149005036e-7,Mycl,16918,v-myc avian myelocytomatosis viral oncogene lung carcinoma derived [Source:MGI Symbol;Acc:MGI:96799]
ENSMUSG00000031104,76.94262735852149,-2.2688821277831774,0.3696499876146423,-6.1379202050683475,8.36088375765016e-10,3.3458936658575257e-7,Rab33a,19337,"RAB33A, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:109493]"
ENSMUSG00000004044,25.014902613328683,-3.3144866431807225,0.5405309008543129,-6.131909642801463,8.683041872022474e-10,3.385718403790917e-7,Cavin1,19285,caveolae associated 1 [Source:MGI Symbol;Acc:MGI:1277968]
ENSMUSG00000035105,3268.014126272389,-2.2699982158198555,0.3736006230627575,-6.076002221866051,1.2321570257538183e-9,4.684352972659579e-7,Egln3,112407,egl-9 family hypoxia-inducible factor 3 [Source:MGI Symbol;Acc:MGI:1932288]
