ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,ENTREZID,description
ENSMUSG00000025432,2458.9115250117584,7.574884603079385,0.38087319833610217,19.888205933553024,5.148420211930873e-88,8.123692252405725e-84,Avil,11567,advillin [Source:MGI Symbol;Acc:MGI:1333798]
ENSMUSG00000021831,16168.145983985274,2.468128258762075,0.15475718659413906,15.948391884603746,2.923277551528895e-57,2.306319824278722e-53,Ero1a,50527,endoplasmic reticulum oxidoreductase 1 alpha [Source:MGI Symbol;Acc:MGI:1354385]
ENSMUSG00000043421,710.551340447865,2.246649592253542,0.17636801344351352,12.738418653068802,3.616508976052468e-37,1.9021631711043966e-33,Hilpda,69573,hypoxia inducible lipid droplet associated [Source:MGI Symbol;Acc:MGI:1916823]
ENSMUSG00000005413,1677.9486869520517,2.6477721289970924,0.20888712191103342,12.675612095056765,8.072606019771626e-37,3.184441259649412e-33,Hmox1,15368,heme oxygenase 1 [Source:MGI Symbol;Acc:MGI:96163]
ENSMUSG00000020176,467.9663877774062,5.036572485531177,0.4022527516026632,12.52091493585654,5.736998457210696e-36,1.8104819731265515e-32,Grb10,14783,growth factor receptor bound protein 10 [Source:MGI Symbol;Acc:MGI:103232]
ENSMUSG00000045312,212.2807729171938,4.248090624944931,0.35437439146921385,11.987577904070934,4.1279958881784975e-33,1.0855941186594753e-29,Lhfpl2,218454,lipoma HMGIC fusion partner-like 2 [Source:MGI Symbol;Acc:MGI:2145236]
ENSMUSG00000020256,1113.530104214823,4.320697822216477,0.36167617352514503,11.946315899396915,6.786760288333807e-33,1.529832722708845e-29,Aldh1l2,216188,"aldehyde dehydrogenase 1 family, member L2 [Source:MGI Symbol;Acc:MGI:2444680]"
ENSMUSG00000044345,1858.0734509578754,1.8865639574242017,0.15980184835154554,11.805645409519792,3.6497964587629684e-32,7.19876729035261e-29,Marveld1,277010,MARVEL (membrane-associating) domain containing 1 [Source:MGI Symbol;Acc:MGI:2147570]
ENSMUSG00000053332,11776.673875324852,1.8963047906339008,0.16948671129984508,11.188516055863987,4.6413624130219025e-29,7.323605751507261e-26,Gas5,14455,growth arrest specific 5 [Source:MGI Symbol;Acc:MGI:95659]
ENSMUSG00000018821,1148.2462093013141,2.5462699677487155,0.22739936185165063,11.197348783282141,4.2011857790270547e-29,7.323605751507261e-26,Avpi1,69534,arginine vasopressin-induced 1 [Source:MGI Symbol;Acc:MGI:1916784]
ENSMUSG00000055013,98.54004620167306,4.403505349335772,0.39465171000087534,11.157953298431178,6.548172485209965e-29,9.393055785829822e-26,Agap1,347722,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 [Source:MGI Symbol;Acc:MGI:2653690]"
ENSMUSG00000086290,1593.5961641439192,2.0904575821412434,0.19067692185504195,10.963348693715902,5.7337669009638505e-28,7.53942566085905e-25,Snhg12,100039864,small nucleolar RNA host gene 12 [Source:MGI Symbol;Acc:MGI:1916721]
ENSMUSG00000023832,941.4323275629898,-2.6312188910788636,0.24422050811406157,-10.773947328985043,4.569792979758938e-27,5.546674109816637e-24,Acat2,110460,acetyl-Coenzyme A acetyltransferase 2 [Source:MGI Symbol;Acc:MGI:87871]
ENSMUSG00000074802,423.10068571316873,-2.235974332372514,0.20787883648802402,-10.756142232407239,5.544282151487934e-27,6.24880200488058e-24,Gas2l3,237436,growth arrest-specific 2 like 3 [Source:MGI Symbol;Acc:MGI:1918780]
ENSMUSG00000074578,4692.039674980119,2.1924758327684764,0.21417074645293882,10.237046231009163,1.3530419223303815e-24,1.4233098994967394e-21,Zfas1,68949,"zinc finger, NFX1-type containing 1, antisense RNA 1 [Source:MGI Symbol;Acc:MGI:1916199]"
ENSMUSG00000052713,1068.1327925537923,1.8114108471360864,0.17821385413314406,10.164253817117812,2.8630582017350477e-24,2.823512210323582e-21,Zfp608,269023,zinc finger protein 608 [Source:MGI Symbol;Acc:MGI:2442338]
ENSMUSG00000026456,2658.006516132613,2.8218438936547208,0.280601744202044,10.05640182914503,8.608737879210885e-24,7.990427940945209e-21,Cyb5r1,72017,cytochrome b5 reductase 1 [Source:MGI Symbol;Acc:MGI:1919267]
ENSMUSG00000010663,695.1432526706066,-2.174055298552692,0.21666915034278034,-10.033986357140547,1.0806359095250774e-23,9.472974453553442e-21,Fads1,76267,fatty acid desaturase 1 [Source:MGI Symbol;Acc:MGI:1923517]
ENSMUSG00000001435,225.2070819031796,-2.529161279698272,0.25422661170312094,-9.948452141791352,2.5613596895941574e-23,2.12714181800559e-20,Col18a1,12822,"collagen, type XVIII, alpha 1 [Source:MGI Symbol;Acc:MGI:88451]"
ENSMUSG00000027071,93.62866897844236,3.8993826234396263,0.4036014017585147,9.66146947570001,4.395136018902127e-22,3.302421487726508e-19,P2rx3,228139,"purinergic receptor P2X, ligand-gated ion channel, 3 [Source:MGI Symbol;Acc:MGI:1097160]"
ENSMUSG00000051517,406.20480314738637,-2.2232842013909626,0.23054019406477802,-9.643802940350854,5.22168432296853e-22,3.745134406005475e-19,Arhgef39,230098,Rho guanine nucleotide exchange factor (GEF) 39 [Source:MGI Symbol;Acc:MGI:3036286]
ENSMUSG00000025355,100.56013294375043,5.369724413806018,0.560179168522548,9.585726702348587,9.18090326703468e-22,6.298498810893054e-19,Mmp19,58223,matrix metallopeptidase 19 [Source:MGI Symbol;Acc:MGI:1927899]
ENSMUSG00000093930,3756.995554708766,-2.5728575887333753,0.2685336173784108,-9.58113778770488,9.598166441419765e-22,6.310394511631771e-19,Hmgcs1,208715,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 [Source:MGI Symbol;Acc:MGI:107592]
ENSMUSG00000034833,1365.2622172017639,-2.357634990528862,0.2490869664038745,-9.465107807793308,2.93258392431719e-21,1.8509296696720378e-18,Tespa1,67596,"thymocyte expressed, positive selection associated 1 [Source:MGI Symbol;Acc:MGI:1914846]"
ENSMUSG00000025557,78.68454123334293,-4.99139166867276,0.5436455604522611,-9.181334368886228,4.257821028469224e-20,2.5840060772390725e-17,Slc15a1,56643,"solute carrier family 15 (oligopeptide transporter), member 1 [Source:MGI Symbol;Acc:MGI:1861376]"
ENSMUSG00000044734,509.12136876430276,-2.200263171942654,0.24114756592078404,-9.12413593536097,7.23107702599776e-20,4.225894977526617e-17,Serpinb1a,66222,"serine (or cysteine) peptidase inhibitor, clade B, member 1a [Source:MGI Symbol;Acc:MGI:1913472]"
ENSMUSG00000052160,152.48969365805343,-4.451490082170568,0.4906426635082856,-9.072774165908616,1.1602458957778847e-19,6.312937927406636e-17,Pld4,104759,"phospholipase D family, member 4 [Source:MGI Symbol;Acc:MGI:2144765]"
ENSMUSG00000023034,885.9687026384028,-3.4032626046435683,0.3750375676615409,-9.074457862618448,1.1424481282041125e-19,6.312937927406636e-17,Nr4a1,15370,"nuclear receptor subfamily 4, group A, member 1 [Source:MGI Symbol;Acc:MGI:1352454]"
ENSMUSG00000118607,77.43142512988653,5.5754282867741916,0.6149721471511032,9.06614765010531,1.2329932574839813e-19,6.485133536613247e-17,Gm7592,101055758,predicted gene 7592 [Source:MGI Symbol;Acc:MGI:3644077]
ENSMUSG00000025151,93.7233206274057,-3.279860121606566,0.3619812846763712,-9.060855520580075,1.2943135199453629e-19,6.588055816521897e-17,Maged1,94275,MAGE family member D1 [Source:MGI Symbol;Acc:MGI:1930187]
ENSMUSG00000021670,6174.12277859964,-2.0001202836928678,0.22114524974239413,-9.044373713759402,1.50525546143358e-19,7.422320601862643e-17,Hmgcr,15357,3-hydroxy-3-methylglutaryl-Coenzyme A reductase [Source:MGI Symbol;Acc:MGI:96159]
ENSMUSG00000027605,365.60340916623863,-2.0520473633123566,0.2297549431202876,-8.93146121447325,4.2041844957532667e-19,2.0102371866209332e-16,Acss2,60525,acyl-CoA synthetase short-chain family member 2 [Source:MGI Symbol;Acc:MGI:1890410]
ENSMUSG00000035504,618.8892839449064,2.352397651595817,0.263914318770714,8.913490039316722,4.94508508425448e-19,2.2949558101309244e-16,Reep6,70335,receptor accessory protein 6 [Source:MGI Symbol;Acc:MGI:1917585]
ENSMUSG00000027952,594.3237158501388,-1.909302837452362,0.21476143174330947,-8.890343214578811,6.09204397027318e-19,2.7464674801983e-16,Pmvk,68603,phosphomevalonate kinase [Source:MGI Symbol;Acc:MGI:1915853]
ENSMUSG00000034156,8829.75585130637,-2.562257129302569,0.28927621433634537,-8.857476011917793,8.184641790404027e-19,3.5873739669662535e-16,Tspoap1,207777,TSPO associated protein 1 [Source:MGI Symbol;Acc:MGI:2450877]
ENSMUSG00000020439,83.18334214107172,-3.028103610675609,0.3436517363345665,-8.811547536391785,1.234299213150338e-18,5.263785752513294e-16,Smtn,29856,smoothelin [Source:MGI Symbol;Acc:MGI:1354727]
ENSMUSG00000027078,104.2279294480243,-2.486608269301069,0.2826091111195477,-8.798754786958012,1.3834260488641101e-18,5.744494638164946e-16,Ube2l6,56791,ubiquitin-conjugating enzyme E2L 6 [Source:MGI Symbol;Acc:MGI:1914500]
ENSMUSG00000007035,973.1634300282753,-2.3532205947839744,0.2687659394286663,-8.755650361747373,2.0292989182866175e-18,8.210335290165266e-16,Msh5,17687,mutS homolog 5 [Source:MGI Symbol;Acc:MGI:1329021]
ENSMUSG00000016756,541.5088696159158,-2.0237909934363842,0.2325382277283097,-8.703046433298345,3.230916442175631e-18,1.2434300131972996e-15,Cmah,12763,cytidine monophospho-N-acetylneuraminic acid hydroxylase [Source:MGI Symbol;Acc:MGI:103227]
ENSMUSG00000018774,431.6061015373795,-2.622764202799788,0.3016234882685764,-8.695490586145548,3.4533444245049014e-18,1.2973886112919723e-15,Cd68,12514,CD68 antigen [Source:MGI Symbol;Acc:MGI:88342]
ENSMUSG00000036938,276.7092227907196,10.661400345677205,1.2446663399075295,8.565669371656083,1.0744979437993307e-17,3.9429076872580556e-15,Try5,103964,trypsin 5 [Source:MGI Symbol;Acc:MGI:102756]
ENSMUSG00000026930,455.6601932995233,-1.7121477482816516,0.20022223153152527,-8.551236968968011,1.217763178690999e-17,4.367064817401198e-15,Gpsm1,67839,"G-protein signalling modulator 1 (AGS3-like, C. elegans) [Source:MGI Symbol;Acc:MGI:1915089]"
ENSMUSG00000022696,263.68727268594546,-2.2386754230306845,0.26220092884872864,-8.538014845562357,1.3654738171432204e-17,4.787958080156195e-15,Sidt1,320007,"SID1 transmembrane family, member 1 [Source:MGI Symbol;Acc:MGI:2443155]"
ENSMUSG00000030792,767.3443499691726,-1.5241736726906507,0.18050357433781153,-8.444008260125461,3.066375161164005e-17,1.0518333406088442e-14,Dkkl1,50722,dickkopf-like 1 [Source:MGI Symbol;Acc:MGI:1354963]
ENSMUSG00000032715,3592.747193312573,2.0962376672453664,0.24995088803983262,8.386598198088043,5.0041172303222734e-17,1.6799992718564926e-14,Trib3,228775,tribbles pseudokinase 3 [Source:MGI Symbol;Acc:MGI:1345675]
ENSMUSG00000044786,3381.7035182533687,-2.732206095430658,0.32626685270128536,-8.374145497189499,5.562600067125488e-17,1.8285888845661057e-14,Zfp36,22695,zinc finger protein 36 [Source:MGI Symbol;Acc:MGI:99180]
ENSMUSG00000028542,696.7740911594842,2.483341459155996,0.29795651109439514,8.334576915384986,7.777580047445273e-17,2.5045395014007952e-14,Slc6a9,14664,"solute carrier family 6 (neurotransmitter transporter, glycine), member 9 [Source:MGI Symbol;Acc:MGI:95760]"
ENSMUSG00000045294,1555.4935113219474,-2.2253798430173677,0.26783948962012155,-8.308632331153401,9.681137446472706e-17,3.055173355357856e-14,Insig1,231070,insulin induced gene 1 [Source:MGI Symbol;Acc:MGI:1916289]
ENSMUSG00000003604,546.7806705099945,1.4161004640098298,0.1728604621563127,8.192159423531399,2.5658046048134097e-16,7.938398207715841e-14,Aven,74268,"apoptosis, caspase activation inhibitor [Source:MGI Symbol;Acc:MGI:1921518]"
ENSMUSG00000037820,68.76711058568017,3.035752505073844,0.37177139681278365,8.165643002930066,3.1972752580689064e-16,9.701885826359476e-14,Tgm2,21817,"transglutaminase 2, C polypeptide [Source:MGI Symbol;Acc:MGI:98731]"
ENSMUSG00000031604,1805.571183001602,-1.7354516332572174,0.2126734211172857,-8.160171704296541,3.3454866775213323e-16,9.960081940492284e-14,Msmo1,66234,methylsterol monoxygenase 1 [Source:MGI Symbol;Acc:MGI:1913484]
ENSMUSG00000058454,1332.8551094836555,-2.2436567858944234,0.27532323081537996,-8.149173534139312,3.6641981984235145e-16,1.0706922846837895e-13,Dhcr7,13360,7-dehydrocholesterol reductase [Source:MGI Symbol;Acc:MGI:1298378]
ENSMUSG00000028179,1041.5129827339229,3.299984870523801,0.4054509026882876,8.139049262546207,3.983938642409181e-16,1.1429557788831722e-13,Cth,107869,cystathionase (cystathionine gamma-lyase) [Source:MGI Symbol;Acc:MGI:1339968]
ENSMUSG00000025920,144.66677801988263,2.286085476960777,0.2813180218881949,8.126338517584712,4.42452274303893e-16,1.2466882921859158e-13,Stau2,29819,staufen double-stranded RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:1352508]
ENSMUSG00000032883,176.38727410463508,-2.335932116770985,0.2915028343598677,-8.013411334063452,1.1156970759053554e-15,3.0885235369667726e-13,Acsl3,74205,acyl-CoA synthetase long-chain family member 3 [Source:MGI Symbol;Acc:MGI:1921455]
ENSMUSG00000036067,174.77400217442974,-2.330044597070847,0.2933756526529062,-7.942188030945878,1.986454975280014e-15,5.312588653380228e-13,Slc2a6,227659,"solute carrier family 2 (facilitated glucose transporter), member 6 [Source:MGI Symbol;Acc:MGI:2443286]"
ENSMUSG00000021273,1827.8606391714266,-2.035165809711857,0.25621909972463297,-7.943068303257314,1.9724025925347677e-15,5.312588653380228e-13,Fdft1,14137,farnesyl diphosphate farnesyl transferase 1 [Source:MGI Symbol;Acc:MGI:102706]
ENSMUSG00000053931,179.24467117818048,-1.916757793335375,0.24205314781621354,-7.918747641285515,2.399147198251508e-15,6.205925187083696e-13,Cnn3,71994,"calponin 3, acidic [Source:MGI Symbol;Acc:MGI:1919244]"
ENSMUSG00000031349,991.5651260892861,-1.5368962404030848,0.19407148424210272,-7.919227527964996,2.3899066782220456e-15,6.205925187083696e-13,Nsdhl,18194,"NAD(P) dependent steroid dehydrogenase-like [Source:MGI Symbol;Acc:MGI:1099438]"
